start_ip,end_ip,join_key,asn,domain,name,type,country
2607:fe70:4000::,2607:fe70:7fff:ffff:ffff:ffff:ffff:ffff,2607:fe70:4000::,AS11170,rollernet.us,Roller Network LLC,hosting,US
2603:f69e:8000::,2603:f69e:bfff:ffff:ffff:ffff:ffff:ffff,2603:f69e:8000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
2c0e:2f83:c000::,2c0e:2f83:ffff:ffff:ffff:ffff:ffff:ffff,2c0e:2f83:c000::,AS5713,telkom.co.za,Telkom SA Ltd.,isp,ZA
2a05:63c6::,2a05:63c6:3fff:ffff:ffff:ffff:ffff:ffff,2a05:63c6::,AS48944,khalijonline.net,khalij fars Ettela Resan Company J.S.,business,IR
2a01:2080::,2a01:2080:3fff:ffff:ffff:ffff:ffff:ffff,2a01:2080::,AS3269,telecomitalia.com,Telecom Italia S.p.A.,isp,IT
2003:1562:c000::,2003:1562:ffff:ffff:ffff:ffff:ffff:ffff,2003:1562:c000::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
240a:e615:4000::,240a:e615:7fff:ffff:ffff:ffff:ffff:ffff,240a:e615:4000::,AS148000,dns.nic.in,1.10.10.10 - Indian Public DNS,business,IN
2a00:225c:4000::,2a00:225c:7fff:ffff:ffff:ffff:ffff:ffff,2a00:225c:4000::,AS5400,bt.com,British Telecommunications PLC,isp,GB
2a10:48c5:c000::,2a10:48c5:ffff:ffff:ffff:ffff:ffff:ffff,2a10:48c5:c000::,AS47693,legend-communications.com,Talk Straight Ltd.,business,GB
2a06:cbc2:8000::,2a06:cbc2:bfff:ffff:ffff:ffff:ffff:ffff,2a06:cbc2:8000::,AS12693,ediscom.de,e.discom Telekommunikation GmbH,isp,DE
205.112.32.0,205.112.255.255,205.112.0.0,AS749,mail.mil,DoD Network Information Center,business,US
2a01:20cd:4000::,2a01:20cd:7fff:ffff:ffff:ffff:ffff:ffff,2a01:20cd:4000::,AS3269,telecomitalia.com,Telecom Italia S.p.A.,isp,IT
240c:cff0:8000::,240c:cff0:bfff:ffff:ffff:ffff:ffff:ffff,240c:cff0:8000::,AS23910,cernet.edu.cn,China Next Generation Internet CERNET2,education,CN
193.34.69.0,193.34.69.255,193.34.0.0,AS30823,aurologic.com,aurologic GmbH,hosting,DE
198.161.112.0,198.161.112.255,198.161.0.0,AS15296,cybera.ca,Cybera Inc,isp,CA
2a0c:6903::,2a0c:6903:3fff:ffff:ffff:ffff:ffff:ffff,2a0c:6903::,AS34665,pindc.ru,Petersburg Internet Network ltd.,hosting,RU
49.72.79.0,49.72.82.255,49.72.0.0,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
2409:8bcc:4000::,2409:8bcc:7fff:ffff:ffff:ffff:ffff:ffff,2409:8bcc:4000::,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
2a05:bb83:8000::,2a05:bb83:bfff:ffff:ffff:ffff:ffff:ffff,2a05:bb83:8000::,AS201073,yes.co.il,YES TV AND COMMUNICATIONS SERVICES LTD,isp,IL
2001:52e5:8000::,2001:52e5:bfff:ffff:ffff:ffff:ffff:ffff,2001:52e5:8000::,AS1273,vodafone.com,Vodafone Group PLC,isp,EU
2a02:29d0:c000::,2a02:29d0:ffff:ffff:ffff:ffff:ffff:ffff,2a02:29d0:c000::,AS35575,vaioni.com,Vaioni Group Ltd,isp,GB
2a01:26de:8000::,2a01:26de:bfff:ffff:ffff:ffff:ffff:ffff,2a01:26de:8000::,AS3269,telecomitalia.com,Telecom Italia S.p.A.,isp,IT
240a:e548:c000::,240a:e548:ffff:ffff:ffff:ffff:ffff:ffff,240a:e548:c000::,AS148000,dns.nic.in,1.10.10.10 - Indian Public DNS,business,IN
2a0a:89c0:8000::,2a0a:89c0:bfff:ffff:ffff:ffff:ffff:ffff,2a0a:89c0:8000::,AS206010,rfs.is,Umbra Service Center Management,business,IS
2a00:40c0:8000::,2a00:40c0:bfff:ffff:ffff:ffff:ffff:ffff,2a00:40c0:8000::,AS12762,vtg.at,Vorarlberger Informatik- und Telekommunikationsdienstleistungsgesellschaft mbH,business,AT
45.225.74.0,45.225.74.255,45.225.0.0,AS265867,transoceanet.com,Trans Ocean Network,isp,PA
2409:42b8:4000::,2409:42b8:7fff:ffff:ffff:ffff:ffff:ffff,2409:42b8:4000::,AS55836,jio.com,Reliance Jio Infocomm Limited,isp,IN
199.52.8.0,199.52.15.255,199.52.0.0,AS3571,ey.com,Ernst & Young LLP,business,US
2a06:f44:4000::,2a06:f44:7fff:ffff:ffff:ffff:ffff:ffff,2a06:f44:4000::,AS211492,alexandrepelissier.fr,Alexandre PELISSIER,business,FR
2a01:4060::,2a01:4060:3fff:ffff:ffff:ffff:ffff:ffff,2a01:4060::,AS9063,vsenet.de,VSE NET GmbH,isp,DE
8.48.92.0,8.48.111.255,8.48.0.0,AS3356,lumen.com,"Level 3 Parent, LLC",isp,US
199.94.49.0,199.94.59.255,199.94.0.0,AS3356,lumen.com,"Level 3 Parent, LLC",isp,US
2402:640::,2402:640:3fff:ffff:ffff:ffff:ffff:ffff,2402:640::,AS135692,getglobalnet.com,Global Ra Net Services Pvt. Ltd.,isp,IN
103.59.184.0,103.59.187.255,103.59.0.0,AS132931,ficustelecom.com,FICUS TELECOM PRIVATE LIMITED,isp,IN
185.30.212.0,185.30.213.255,185.30.0.0,AS9009,m247.com,M247 Europe SRL,hosting,RO
2603:2981:c000::,2603:2981:ffff:ffff:ffff:ffff:ffff:ffff,2603:2981:c000::,AS7016,comcast.com,"Comcast Cable Communications, LLC",isp,US
2800:27c5:8000::,2800:27c5:bfff:ffff:ffff:ffff:ffff:ffff,2800:27c5:8000::,AS7303,telecom.com.ar,Telecom Argentina S.A.,isp,AR
240a:e0af:8000::,240a:e0af:bfff:ffff:ffff:ffff:ffff:ffff,240a:e0af:8000::,AS148000,dns.nic.in,1.10.10.10 - Indian Public DNS,business,IN
2c0e:2eec:c000::,2c0e:2eec:ffff:ffff:ffff:ffff:ffff:ffff,2c0e:2eec:c000::,AS5713,telkom.co.za,Telkom SA Ltd.,isp,ZA
151.237.94.0,151.237.94.255,151.237.0.0,AS198482,abv.bg,Pernik Lan Ltd.,isp,BG
2800:2164:c000::,2800:2164:ffff:ffff:ffff:ffff:ffff:ffff,2800:2164:c000::,AS7303,telecom.com.ar,Telecom Argentina S.A.,isp,AR
89.251.240.0,89.251.255.255,89.251.0.0,AS198172,amb.ch,Azienda Multiservizi Bellinzona,isp,CH
2001:8fcb:c000::,2001:8fcb:ffff:ffff:ffff:ffff:ffff:ffff,2001:8fcb:c000::,AS1221,telstra.com.au,Telstra Corporation Ltd,isp,AU
240e:800:c000::,240e:800:ffff:ffff:ffff:ffff:ffff:ffff,240e:800:c000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
103.210.108.0,103.210.111.255,103.210.0.0,AS2522,nic.ad.jp,Japan Network Information Center,business,JP
2a0d:2ac7:4000::,2a0d:2ac7:7fff:ffff:ffff:ffff:ffff:ffff,2a0d:2ac7:4000::,AS60781,leaseweb.com,LeaseWeb Netherlands B.V.,hosting,NL
2601:d40::,2601:d40:3fff:ffff:ffff:ffff:ffff:ffff,2601:d40::,AS7922,comcast.com,"Comcast Cable Communications, LLC",isp,US
22.1.0.0,22.1.255.255,22.1.0.0,AS749,mail.mil,DoD Network Information Center,business,US
98.159.96.0,98.159.97.255,98.159.0.0,AS174,cogentcomm.biz,Cogent Communications,isp,US
2804:12f4::,2804:12f4:3fff:ffff:ffff:ffff:ffff:ffff,2804:12f4::,AS263506,gbonline.com.br,GB ONLINE TELECOMUNICACOES LTDA,isp,BR
2c0e:eb3::,2c0e:eb3:3fff:ffff:ffff:ffff:ffff:ffff,2c0e:eb3::,AS24863,orange.com,Link Egypt (Link.NET),isp,EG
2a0c:2e02:8000::,2a0c:2e02:bfff:ffff:ffff:ffff:ffff:ffff,2a0c:2e02:8000::,AS56708,d2cloud.co.za,D2CLOUD NETWORK SERVICES (PTY) LTD,business,ZA
139.18.0.0,139.18.255.255,139.18.0.0,AS680,dfn.de,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,education,DE
2806:2f0:44c0::,2806:2f0:44c2:ffff:ffff:ffff:ffff:ffff,2806:2f0:4000::,AS17072,totalplay.com.mx,TOTAL PLAY TELECOMUNICACIONES SA DE CV,isp,MX
192.121.40.0,192.121.40.255,192.121.0.0,AS3301,teliacompany.com,Telia Company AB,isp,SE
240e:686::,240e:686:3fff:ffff:ffff:ffff:ffff:ffff,240e:686::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
182.136.100.0,182.136.103.255,182.136.0.0,AS140278,chinatelecom.cn,CHINATELECOM SiChuan province Mianyang 5G network,isp,CN
2603:fa01:c000::,2603:fa01:ffff:ffff:ffff:ffff:ffff:ffff,2603:fa01:c000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
2a0a:53c0::,2a0a:53c0:0:ffff:ffff:ffff:ffff:ffff,2a0a:53c0::,AS42780,email.ua,"PE ""Avtosojuz""",business,UA
240a:a952::,240a:a952:3fff:ffff:ffff:ffff:ffff:ffff,240a:a952::,AS4538,cernet.edu.cn,China Education and Research Network Center,education,CN
154.209.70.0,154.209.70.255,154.209.0.0,AS63888,tisp.com,TISP LIMITED,hosting,HK
221.236.0.0,221.236.3.255,221.236.0.0,AS38283,chinatelecom.cn,CHINANET SiChuan Telecom Internet Data Center,hosting,CN
2603:f8d0:8000::,2603:f8d0:bfff:ffff:ffff:ffff:ffff:ffff,2603:f8d0:8000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
89.116.68.0,89.116.68.255,89.116.0.0,AS61317,hivelocity.net,Hivelocity Inc,business,US
2603:fd2b::,2603:fd2b:3fff:ffff:ffff:ffff:ffff:ffff,2603:fd2b::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
91.226.161.0,91.226.161.255,91.226.0.0,AS51054,transkom-vd.ru,"OOO ""TransKom""",business,RU
2a11:7081:8000::,2a11:7081:bfff:ffff:ffff:ffff:ffff:ffff,2a11:7081:8000::,AS61100,net.ru,Admin LLC,business,RU
61.91.195.0,61.91.195.255,61.91.0.0,AS7470,trueinternet.co.th,"TRUE INTERNET Co.,Ltd.",isp,TH
217.151.80.0,217.151.95.255,217.151.0.0,AS21385,trusted-network.de,Trusted Network GmbH,hosting,DE
2a02:9073:c000::,2a02:9073:ffff:ffff:ffff:ffff:ffff:ffff,2a02:9073:c000::,AS3352,movistar.es,TELEFONICA DE ESPANA S.A.U.,isp,ES
190.97.64.0,190.97.67.255,190.97.0.0,AS27845,ert.com.co,Empresa de Recursos Tecnologicos S.A E.S.P,isp,CO
2603:28ba:c000::,2603:28ba:ffff:ffff:ffff:ffff:ffff:ffff,2603:28ba:c000::,AS33661,comcast.com,"Comcast Cable Communications, LLC",isp,US
2a0c:34c6:c000::,2a0c:34c6:ffff:ffff:ffff:ffff:ffff:ffff,2a0c:34c6:c000::,AS216213,lexistream.net,Lexistar Alliance Ltd.,business,SC
2001:8348:c000::,2001:8348:ffff:ffff:ffff:ffff:ffff:ffff,2001:8348:c000::,AS1221,telstra.com.au,Telstra Corporation Ltd,isp,AU
2804:99c:4000::,2804:99c:7fff:ffff:ffff:ffff:ffff:ffff,2804:99c:4000::,AS262519,milla.com.br,BIA PADUA INTERNET E S.C.M. LTDA,isp,BR
209.22.137.0,209.22.137.255,209.22.0.0,AS27064,dodig.mil,DoD Network Information Center,isp,US
2a04:9546::,2a04:9546:3fff:ffff:ffff:ffff:ffff:ffff,2a04:9546::,AS51265,massresponse.com,Mass Response Service GmbH,isp,AT
209.131.137.0,209.131.156.255,209.131.0.0,AS7342,verisign.com,VeriSign Infrastructure & Operations,business,US
240e:87f:8000::,240e:87f:bfff:ffff:ffff:ffff:ffff:ffff,240e:87f:8000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
150.61.35.0,150.61.35.255,150.61.0.0,AS4713,ntt.com,NTT Communications Corporation,isp,JP
2a0c:9701:c000::,2a0c:9701:ffff:ffff:ffff:ffff:ffff:ffff,2a0c:9701:c000::,AS57376,ingenit.com,Marc-Christian Schroeer trading as 'ingenit GmbH & Co. KG',hosting,DE
185.83.91.0,185.83.91.255,185.83.0.0,AS49100,pishgaman.net,Pishgaman Toseeh Ertebatat Company (Private Joint Stock),isp,IR
2a10:ce40:250::,2a10:ce40:250:ffff:ffff:ffff:ffff:ffff,2a10:ce40::,AS140224,scgp.ltd,"STARCLOUD GLOBAL PTE., LTD.",hosting,SG
23.201.36.0,23.201.39.255,23.201.0.0,AS16625,akamai.com,"Akamai Technologies, Inc.",hosting,US
2001:559:2d0::,2001:559:2d0:ffff:ffff:ffff:ffff:ffff,2001:559::,AS33650,comcast.com,"Comcast Cable Communications, LLC",isp,US
223.165.11.0,223.165.11.255,223.165.0.0,AS24155,aptg.com.tw,Asia Pacific Broadband Wireless Communications Inc,business,TW
240a:e8ec:8000::,240a:e8ec:bfff:ffff:ffff:ffff:ffff:ffff,240a:e8ec:8000::,AS148000,dns.nic.in,1.10.10.10 - Indian Public DNS,business,IN
61.251.221.0,61.251.231.255,61.251.0.0,AS9689,skbroadband.com,SK Broadband Co Ltd,isp,KR
240a:a0a9:4000::,240a:a0a9:7fff:ffff:ffff:ffff:ffff:ffff,240a:a0a9:4000::,AS4538,cernet.edu.cn,China Education and Research Network Center,education,CN
2a0b:e985::,2a0b:e985:3fff:ffff:ffff:ffff:ffff:ffff,2a0b:e985::,AS51783,dedic-center.ru,The Center of Dedicated Servers LLC,hosting,RU
240a:a75d:8000::,240a:a75d:bfff:ffff:ffff:ffff:ffff:ffff,240a:a75d:8000::,AS4538,cernet.edu.cn,China Education and Research Network Center,education,CN
151.237.134.0,151.237.134.255,151.237.0.0,AS200845,avatel.es,"AVATEL TELECOM, SA",isp,ES
38.56.192.0,38.56.199.255,38.56.0.0,AS28458,ientc.com,IENTC S DE RL DE CV,isp,MX
2602:fa3d:a92::,2602:fa3d:a92:ffff:ffff:ffff:ffff:ffff,2602:fa3d::,AS26042,fiberstate.com,"FiberState, LLC",hosting,US
2a10:4342:c000::,2a10:4342:ffff:ffff:ffff:ffff:ffff:ffff,2a10:4342:c000::,AS59441,hostiran.net,Hostiran Network,hosting,IR
2001:678:d::,2001:678:d:ffff:ffff:ffff:ffff:ffff,2001:678::,AS49488,cert.at,nic.at GmbH,business,AT
2003:d6c::,2003:d6c:3fff:ffff:ffff:ffff:ffff:ffff,2003:d6c::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
240a:c179:8000::,240a:c179:bfff:ffff:ffff:ffff:ffff:ffff,240a:c179:8000::,AS137726,pcitc.com,China Petroleum & Chemical Corporation,business,CN
240a:e76b:8000::,240a:e76b:bfff:ffff:ffff:ffff:ffff:ffff,240a:e76b:8000::,AS148000,dns.nic.in,1.10.10.10 - Indian Public DNS,business,IN
216.152.68.0,216.152.69.255,216.152.0.0,AS397606,crowsnestbb.net,Crowsnest IT Support LLC,business,US
2a11:6c6:8000::,2a11:6c6:8fff:ffff:ffff:ffff:ffff:ffff,2a11:6c6:8000::,AS210916,freifunk-en.de,Freifunk im Ennepe-Ruhr-Kreis e.V.,isp,DE
2a04:7b46:4000::,2a04:7b46:7fff:ffff:ffff:ffff:ffff:ffff,2a04:7b46:4000::,AS200003,tuev-nord.de,TUEV NORD Service GmbH & Co KG,business,DE
2a12:8ec0:8000::,2a12:8ec0:bfff:ffff:ffff:ffff:ffff:ffff,2a12:8ec0:8000::,AS216271,netlabs.com.ua,NETLABS LLC,isp,UA
240a:a87b:c000::,240a:a87b:ffff:ffff:ffff:ffff:ffff:ffff,240a:a87b:c000::,AS4538,cernet.edu.cn,China Education and Research Network Center,education,CN
186.53.0.0,186.53.255.255,186.53.0.0,AS6057,antel.com.uy,Administracion Nacional de Telecomunicaciones,isp,UY
2003:1c65:c000::,2003:1c65:ffff:ffff:ffff:ffff:ffff:ffff,2003:1c65:c000::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
2001:559:86c4::,2001:559:86c5:ffff:ffff:ffff:ffff:ffff,2001:559:8000::,AS33490,comcast.com,"Comcast Cable Communications, LLC",isp,US
206.62.192.0,206.62.223.255,206.62.0.0,AS49800,gnc.am,GNC-Alfa CJSC,isp,AM
21.34.0.0,21.34.255.255,21.34.0.0,AS749,mail.mil,DoD Network Information Center,business,US
2400:202f:c000::,2400:202f:ffff:ffff:ffff:ffff:ffff:ffff,2400:202f:c000::,AS17676,softbank.jp,SoftBank Corp.,isp,JP
2402:9900::,2402:9900:0:ffff:ffff:ffff:ffff:ffff,2402:9900::,AS27435,ntt.com,"NTT Cloud Infrastructure, Inc.",business,US
73.240.0.0,73.240.255.255,73.240.0.0,AS33490,comcast.com,"Comcast Cable Communications, LLC",isp,US
2003:c0f:c000::,2003:c0f:ffff:ffff:ffff:ffff:ffff:ffff,2003:c0f:c000::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
2400:2db7:8000::,2400:2db7:bfff:ffff:ffff:ffff:ffff:ffff,2400:2db7:8000::,AS17676,softbank.jp,SoftBank Corp.,isp,JP
2a12:c902:c000::,2a12:c902:ffff:ffff:ffff:ffff:ffff:ffff,2a12:c902:c000::,AS399587,ultra.is,UT,isp,IS
240e:5d8:8000::,240e:5d8:bfff:ffff:ffff:ffff:ffff:ffff,240e:5d8:8000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
83.243.70.0,83.243.71.255,83.243.0.0,AS42065,etelecom.ru,AO ElectronTelecom,isp,RU
2601:967f:8000::,2601:967f:bfff:ffff:ffff:ffff:ffff:ffff,2601:967f:8000::,AS26810,hhs.gov,U.S. Dept. of Health and Human Services,business,US
2a00:1c89:4000::,2a00:1c89:7fff:ffff:ffff:ffff:ffff:ffff,2a00:1c89:4000::,AS49581,tube-hosting.com,Ferdinand Zink trading as Tube-Hosting,hosting,DE
2003:1b6:c000::,2003:1b6:ffff:ffff:ffff:ffff:ffff:ffff,2003:1b6:c000::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
2a02:30ee:8000::,2a02:30ee:bfff:ffff:ffff:ffff:ffff:ffff,2a02:30ee:8000::,AS6805,telefonica.de,Telefonica Germany GmbH & Co.OHG,isp,DE
2003:632:c000::,2003:632:ffff:ffff:ffff:ffff:ffff:ffff,2003:632:c000::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
2400:43b2:4000::,2400:43b2:7fff:ffff:ffff:ffff:ffff:ffff,2400:43b2:4000::,AS4713,ntt.com,NTT Communications Corporation,isp,JP
2001:df4:d780::,2001:df4:d780:ffff:ffff:ffff:ffff:ffff,2001:df4:c000::,AS134917,ragsaacommunication.in,Ragsaa Communication pvt. ltd.,business,IN
185.92.152.0,185.92.155.255,185.92.0.0,AS49603,nerdherrschaft.com,Nerdherrschaft GmbH,business,DE
66.211.0.0,66.211.15.255,66.211.0.0,AS17306,jabbroadband.com,"JAB Wireless, INC.",isp,US
2800:211d::,2800:211d:3fff:ffff:ffff:ffff:ffff:ffff,2800:211d::,AS7303,telecom.com.ar,Telecom Argentina S.A.,isp,AR
162.219.9.0,162.219.9.255,162.219.0.0,AS16509,amazon.com,"Amazon.com, Inc.",hosting,US
2a02:af8:8000::,2a02:af8:bfff:ffff:ffff:ffff:ffff:ffff,2a02:af8:8000::,AS29550,simplytransit.net,Simply Transit Ltd,hosting,GB
2a00:79e1:381::,2a00:79e1:804:ffff:ffff:ffff:ffff:ffff,2a00:79e1::,AS36384,google.com,Google LLC,business,US
2a0a:2b44::,2a0a:2b44:3fff:ffff:ffff:ffff:ffff:ffff,2a0a:2b44::,AS35278,sprinthost.ru,SPRINTHOST.RU LLC,hosting,RU
2620:100:c::,2620:100:c:ffff:ffff:ffff:ffff:ffff,2620:100::,AS19637,broadcom.com,Avago Technologies U.S. Inc.,business,US
2408:40ad:4000::,2408:40ad:7fff:ffff:ffff:ffff:ffff:ffff,2408:40ad:4000::,AS37963,alibabagroup.com,"Hangzhou Alibaba Advertising Co.,Ltd.",business,CN
185.23.237.0,185.23.237.255,185.23.0.0,AS16276,ovhcloud.com,OVH SAS,hosting,FR
2804:7ee0:8000::,2804:7ee0:bfff:ffff:ffff:ffff:ffff:ffff,2804:7ee0:8000::,AS271651,meganetce.com.br,D P DOS SANTOS SERVICOS DE INTERNET,business,BR
2401:1320:8000::,2401:1320:bfff:ffff:ffff:ffff:ffff:ffff,2401:1320:8000::,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
240c:ce8e:8000::,240c:ce8e:bfff:ffff:ffff:ffff:ffff:ffff,240c:ce8e:8000::,AS23910,cernet.edu.cn,China Next Generation Internet CERNET2,education,CN
2a02:1873:4000::,2a02:1873:7fff:ffff:ffff:ffff:ffff:ffff,2a02:1873:4000::,AS6848,telenet.be,Telenet BV,isp,BE
206.197.206.0,206.197.206.255,206.197.0.0,AS749,mail.mil,DoD Network Information Center,business,US
60.158.0.0,60.158.255.255,60.158.0.0,AS17676,softbank.jp,SoftBank Corp.,isp,JP
2c0e:8a5::,2c0e:8a5:3fff:ffff:ffff:ffff:ffff:ffff,2c0e:8a5::,AS24863,orange.com,Link Egypt (Link.NET),isp,EG
103.57.69.0,103.57.69.255,103.57.0.0,AS133985,tafe.com,Tractor and farm equipmemts Ltd,business,IN
240d:475b:c000::,240d:475b:ffff:ffff:ffff:ffff:ffff:ffff,240d:475b:c000::,AS133111,cernet.com,"CERNET New Technology Co., Ltd",business,CN
240a:c6f3::,240a:c6f3:3fff:ffff:ffff:ffff:ffff:ffff,240a:c6f3::,AS137726,pcitc.com,China Petroleum & Chemical Corporation,business,CN
2a00:2353:4000::,2a00:2353:7fff:ffff:ffff:ffff:ffff:ffff,2a00:2353:4000::,AS5400,bt.com,British Telecommunications PLC,isp,GB
93.183.128.0,93.183.191.255,93.183.0.0,AS25374,escom.bg,ESCOM Ltd. - Haskovo,isp,BG
2a0d:b004:c000::,2a0d:b004:ffff:ffff:ffff:ffff:ffff:ffff,2a0d:b004:c000::,AS12637,seeweb.it,SEEWEB s.r.l.,hosting,IT
91.247.77.0,91.247.77.255,91.247.0.0,AS43201,lugacom.com,Telematika LLC,business,RU
107.151.64.0,107.151.127.255,107.151.0.0,AS132839,powerline.hk,POWER LINE DATACENTER,hosting,HK
2a0e:bf00::,2a0e:bf00:3fff:ffff:ffff:ffff:ffff:ffff,2a0e:bf00::,AS202539,imka.io,Internetmanufaktur Karlsruhe UG (haftungsbeschraenkt),business,DE
2a0d:3b83:8000::,2a0d:3b83:bfff:ffff:ffff:ffff:ffff:ffff,2a0d:3b83:8000::,AS39384,webtuga.pt,"Dream Fusion - IT Services, Lda",hosting,PT
240c:ccc1::,240c:ccc1:3fff:ffff:ffff:ffff:ffff:ffff,240c:ccc1::,AS23910,cernet.edu.cn,China Next Generation Internet CERNET2,education,CN
196.29.192.0,196.29.207.255,196.29.0.0,AS17400,mstelcom.co.ao,"MSTelcom-Mercury Servicos de Telecomunicacoes, S.A.R.L",isp,AO
2600:7082::,2600:7082:3fff:ffff:ffff:ffff:ffff:ffff,2600:7082::,AS6939,he.net,Hurricane Electric LLC,hosting,US
2a00:ea22:8000::,2a00:ea22:bfff:ffff:ffff:ffff:ffff:ffff,2a00:ea22:8000::,AS28884,mts.ru,MTS PJSC,isp,RU
209.17.172.0,209.17.185.255,209.17.0.0,AS577,bell.ca,Bell Canada,isp,CA
240c:4300:4000::,240c:4300:7fff:ffff:ffff:ffff:ffff:ffff,240c:4300:4000::,AS38365,baidu.com,"Beijing Baidu Netcom Science and Technology Co., Ltd.",education,CN
2a01:12e3:4000::,2a01:12e3:7fff:ffff:ffff:ffff:ffff:ffff,2a01:12e3:4000::,AS5617,orange.pl,Orange Polska Spolka Akcyjna,isp,PL
94.241.132.0,94.241.135.255,94.241.0.0,AS201936,rsholding.org,REDSTART GROUP HOLDING LTD,business,SC
2a12:dd47:5c00::,2a12:dd47:5cff:ffff:ffff:ffff:ffff:ffff,2a12:dd47:4000::,AS200021,,Tianhong Peng,hosting,CN
128.68.0.0,128.68.255.255,128.68.0.0,AS8402,corbina.net,"PJSC ""Vimpelcom""",isp,RU
207.199.133.0,207.199.134.255,207.199.0.0,AS54103,modmc.net,"MOD Mission Critical, LLC",hosting,US
213.139.70.0,213.139.71.255,213.139.0.0,AS61317,hivelocity.net,Hivelocity Inc,business,US
103.16.6.0,103.16.7.255,103.16.0.0,AS131235,syntelinc.com,SYNTELNET-IN,business,IN
68.67.204.0,68.67.204.255,68.67.0.0,AS19437,securedservers.com,SECURED SERVERS LLC,hosting,US
2a05:e5c7::,2a05:e5c7:3fff:ffff:ffff:ffff:ffff:ffff,2a05:e5c7::,AS200977,sunucuyeri.com,Sunucuyeri Internet Bilgisayar Turizm Sanayi Ve Dis Ticaret Limited Sirketi,hosting,TR
38.65.115.0,38.65.118.255,38.65.0.0,AS174,cogentcomm.biz,Cogent Communications,isp,US
2a02:e5c1:4000::,2a02:e5c1:7fff:ffff:ffff:ffff:ffff:ffff,2a02:e5c1:4000::,AS51219,croc.ru,Closed Joint Stock Company CROC incorporated,hosting,RU
2001:7e8:8000::,2001:7e8:bfff:ffff:ffff:ffff:ffff:ffff,2001:7e8:8000::,AS6661,post.lu,POST Luxembourg,isp,LU
102.129.160.0,102.129.160.255,102.129.0.0,AS9009,m247.com,M247 Europe SRL,hosting,RO
240f:77:4000::,240f:77:7fff:ffff:ffff:ffff:ffff:ffff,240f:77:4000::,AS2516,kddi.com,KDDI CORPORATION,isp,JP
185.194.164.0,185.194.165.255,185.194.0.0,AS43930,francetelevisions.fr,France Televisions SA,business,FR
114.113.144.0,114.113.159.255,114.113.0.0,AS4808,chinaunicom.cn,China Unicom Beijing Province Network,isp,CN
2a01:1dc::,2a01:1dc:3fff:ffff:ffff:ffff:ffff:ffff,2a01:1dc::,AS8508,silweb.pl,"Silesian University of Technology, Computer Centre",education,PL
154.207.188.0,154.207.191.255,154.207.0.0,AS63888,tisp.com,TISP LIMITED,hosting,HK
216.51.37.0,216.51.37.255,216.51.0.0,AS20286,acc.org,American College of Cardiology,education,US
2a01:14d9:4000::,2a01:14d9:7fff:ffff:ffff:ffff:ffff:ffff,2a01:14d9:4000::,AS5617,orange.pl,Orange Polska Spolka Akcyjna,isp,PL
170.81.8.0,170.81.11.255,170.81.0.0,AS264817,refidomsa.com.do,REFINERIA DOMINICANA DE PETROLEO PDV S.A,business,DO
2a01:a881:c000::,2a01:a881:ffff:ffff:ffff:ffff:ffff:ffff,2a01:a881:c000::,AS29600,latvenergo.lv,"AS ""Latvenergo""",isp,LV
2409:8ed0:c000::,2409:8ed0:ffff:ffff:ffff:ffff:ffff:ffff,2409:8ed0:c000::,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
194.15.62.0,194.15.62.255,194.15.0.0,AS8375,telehouse.net,Telehouse Deutschland GmbH,isp,DE
2a12:83c5:4000::,2a12:83c5:7fff:ffff:ffff:ffff:ffff:ffff,2a12:83c5:4000::,AS43202,evn.bg,Elektrorazpredelenie Yug EAD,isp,BG
2a0a:5ec0:8000::,2a0a:5ec0:bfff:ffff:ffff:ffff:ffff:ffff,2a0a:5ec0:8000::,AS206123,xelon.ch,Xelon AG,hosting,CH
103.10.222.0,103.10.222.255,103.10.0.0,AS38275,commvault.com,COMMVAULT-INDIA-IN,business,IN
2003:173:8000::,2003:173:bfff:ffff:ffff:ffff:ffff:ffff,2003:173:8000::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
2601:f56::,2601:f56:3fff:ffff:ffff:ffff:ffff:ffff,2601:f56::,AS7922,comcast.com,"Comcast Cable Communications, LLC",isp,US
